"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"4 (D1)","St3","9340.25","2486.55118110236","5940.74528301887","333",""
"5 (E1)","St4","5772.56","696.146551724138","1701.53","316",""
"6 (F1)","St5","2935.11","189.444444444444","487.279279279279","364",""
"7 (G1)","St6","1489.03","52.4811320754717","104.35","306",""
"8 (H1)","St7","232.51","15.3170731707317","19.1454545454545","333",""
"9 (A2)","Background","14.57","10.2771084337349","3.63025210084034","385",""
"10 (B2)","St1","20220.6638655462","10781.8849557522","20982.7","332",""
"11 (C2)","St2","14155.68","5871.67741935484","13671.16","324",""
"12 (D2)","St3","9404.49557522124","2055.54330708661","5628.24","340",""
"13 (E2)","St4","5292.83464566929","645.378881987578","1703.54","388",""
"14 (F2)","St5","2546.17647058824","197.141891891892","466.87","367",""
"15 (G2)","St6","1496.57","62.4406779661017","106.765217391304","333",""
"16 (H2)","St7","259.24","16.9548387096774","20.9097744360902","388",""
"17 (A3)","ConA","4087.66","203.23125","1053.25892857143","372",""
"18 (B3)","ConB","1839.69","1018.56488549618","4136","335",""
"19 (C3)","3507","14940.39","1341.7890625","558.768595041322","349",""
"20 (D3)","3512","1819.7","418.132743362832","492.238938053097","326",""
"21 (E3)","3509","3814.90196078431","4437.78260869565","11021.59","340",""
"22 (F3)","A-1","4108.15789473684","266.645833333333","370.38","377",""
"23 (G3)","A-2","3878.61061946903","268.74025974026","453.22","367",""
"24 (H3)","QC-L-1","4279.70093457944","131.304347826087","392.25","368",""
"25 (A4)","ConA","4136.58823529412","256.158878504673","974.51","309",""
"26 (B4)","ConB","1875.13","843.986206896552","3415.93805309735","358",""
"27 (C4)","3507","13318.1","974.090909090909","548.087378640777","368",""
"28 (D4)","3512","2114.74","303.403669724771","469.7","309",""
"29 (E4)","3509","3503.91","4009.12244897959","10314.1652173913","362",""
"30 (F4)","A-1","3759.20535714286","224.866666666667","376.35","362",""
"31 (G4)","A-2","3920.71052631579","222.539007092199","420.03","355",""
"32 (H4)","QC-L-1","4148.584","136.875968992248","468.25","354",""
"33 (A5)","QC-L-2","3984.06666666667","114.171171171171","404.25","316",""
"34 (B5)","45-1","1491.36206896552","420.450704225352","2646.23","358",""
"35 (C5)","45-2","1817.33","520.029850746269","2867.54128440367","343",""
"36 (D5)","48-1","4224.61","194.194244604317","2295.86567164179","373",""
"37 (E5)","48-2","4107.63725490196","230.6015625","2254.69","330",""
"38 (F5)","52-1","4158.5","70.2702702702703","254.4","348",""
"39 (G5)","52-2","3798.79","74.1812080536913","258.214814814815","384",""
"40 (H5)","background","58.1","9.46099290780142","273.530434782609","356",""
"41 (A6)","QC-L-2","3925.47169811321","132.909090909091","393.19","316",""
"42 (B6)","45-1","1602.7476635514","422.556451612903","2848.85","331",""
"43 (C6)","45-2","1619.61","388.02380952381","2992.39","368",""
"44 (D6)","48-1","4089.55454545455","176.504347826087","2194.31","325",""
"45 (E6)","48-2","4130.73","180.991379310345","1905.24444444444","351",""
"46 (F6)","52-1","4126.5046728972","75.6470588235294","283.47","326",""
"47 (G6)","52-2","3784.6","66.6370967741936","273.025","344",""
"48 (H6)","background","53.1272727272727","11.9606299212598","6.7","337",""

"DataType:","%CV"
"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"1 (A1)","Background","56.252447189723","37.9682155864445","85.9778660125053","365",""
"2 (B1)","St1","16.6191910834155","29.5109348370927","17.7569889468975","322",""
"3 (C1)","St2","22.1577605900994","38.2010989696813","26.0029314959707","344",""
"4 (D1)","St3","21.413333095609","71.4031690898936","37.4972493812312","333",""
"5 (E1)","St4","27.9520374748966","67.9728874379108","60.0131976076728","316",""
"6 (F1)","St5","39.0855261216636","65.0736994699739","50.1028869667904","364",""
"7 (G1)","St6","26.9681790174058","60.5447541365892","41.1010551402408","306",""
"8 (H1)","St7","38.3871567716348","47.9051091968319","106.480137074552","333",""
"9 (A2)","Background","123.311199601355","39.6752819259199","81.6104397209786","385",""
"10 (B2)","St1","21.0451729201818","35.3465217615933","15.2393458733625","332",""
"11 (C2)","St2","22.3932978923481","35.6662196895959","25.8342175868405","324",""
"12 (D2)","St3","25.3815785747492","78.597330266258","37.2946841075182","340",""
"13 (E2)","St4","28.6052024813597","67.581143753621","47.961180387575","388",""
"14 (F2)","St5","26.1612370721502","74.8037564811008","49.0316597959406","367",""
